|     | task_0_variant   |   task_0_cpu |   task_0_gpu |   task_0_cpu_all_replicas |   task_0_gpu_all_replicas |   task_0_batch |   task_0_replicas |   task_0_latency |   task_0_throughput |   task_0_throughput_all_replicas | task_0_measured   | task_1_variant   |   task_1_cpu |   task_1_gpu |   task_1_cpu_all_replicas |   task_1_gpu_all_replicas |   task_1_batch |   task_1_replicas |   task_1_latency |   task_1_throughput |   task_1_throughput_all_replicas | task_1_measured   |   pipeline_latency |   pipeline_throughput |   pipeline_cpu |   pipeline_gpu |   pipeline_accuracy |   task_0_accuracy |   task_1_accuracy |
|  67 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               5       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  68 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               5       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  69 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               5       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  70 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               5       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  71 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.8 |               5       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  72 | yolo5s           |            2 |            0 |                         2 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              3 |              0 |                0.4  |               0.8 |               0.5 |
|  73 | yolo5s           |            2 |            0 |                         2 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.8 |               0.5 |
|  74 | yolo5s           |            2 |            0 |                         2 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.8 |               0.5 |
|  75 | yolo5s           |            2 |            0 |                         2 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              3 |              0 |                0.4  |               0.8 |               0.5 |
|  76 | yolo5s           |            2 |            0 |                         2 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              10       |              4 |              0 |                0.4  |               0.8 |               0.5 |
|  77 | yolo5s           |            2 |            0 |                         2 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              4 |              0 |                0.4  |               0.8 |               0.5 |
|  78 | yolo5s           |            2 |            0 |                         2 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              4 |              0 |                0.4  |               0.8 |               0.5 |
|  79 | yolo5s           |            2 |            0 |                         2 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              4 |              0 |                0.4  |               0.8 |               0.5 |
|  80 | yolo5s           |            2 |            0 |                         2 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |               5       |              4 |              0 |                0.4  |               0.8 |               0.5 |
|  81 | yolo5s           |            2 |            0 |                         2 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |               5       |              4 |              0 |                0.4  |               0.8 |               0.5 |
|  82 | yolo5s           |            2 |            0 |                         2 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               5       |              4 |              0 |                0.4  |               0.8 |               0.5 |
|  83 | yolo5s           |            2 |            0 |                         2 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              4 |              0 |                0.4  |               0.8 |               0.5 |
|  84 | yolo5s           |            2 |            0 |                         4 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              5 |              0 |                0.4  |               0.8 |               0.5 |
